Year,Name,Region,Country,Latitude,Longitude,VEI,Continent,Century
2010,Etna,Italy,Italy,37.734,15.004,1,EUROPE,20
2010,Etna,Italy,Italy,37.734,15.004,2,EUROPE,20
2008,Etna,Italy,Italy,37.734,15.004,1,EUROPE,20
2007,Etna,Italy,Italy,37.734,15.004,2,EUROPE,20
2006,Etna,Italy,Italy,37.734,15.004,2,EUROPE,20
2005,Etna,Italy,Italy,37.734,15.004,1,EUROPE,20
2004,Etna,Italy,Italy,37.734,15.004,1,EUROPE,20
2004,Etna,Italy,Italy,37.734,15.004,1,EUROPE,20
2003,Etna,Italy,Italy,37.734,15.004,1,EUROPE,20
2002,Etna,Italy,Italy,37.734,15.004,3,EUROPE,20
2001,Etna,Italy,Italy,37.734,15.004,1,EUROPE,20
2001,Etna,Italy,Italy,37.734,15.004,2,EUROPE,20
1994,Etna,Italy,Italy,37.734,15.004,3,EUROPE,19
1993,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1993,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1991,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1989,Etna,Italy,Italy,37.734,15.004,3,EUROPE,19
1989,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1988,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1987,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1986,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1986,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1985,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1985,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1984,Etna,Italy,Italy,37.734,15.004,3,EUROPE,19
1984,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1983,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1981,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1981,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1981,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1980,Etna,Italy,Italy,37.734,15.004,3,EUROPE,19
1979,Etna,Italy,Italy,37.734,15.004,3,EUROPE,19
1979,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1978,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1975,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1974,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1974,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1971,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1971,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1968,Etna,Italy,Italy,37.734,15.004,0,EUROPE,19
1966,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1959,Etna,Italy,Italy,37.734,15.004,3,EUROPE,19
1959,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1958,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1957,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1957,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1955,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1953,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1951,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1950,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1949,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1949,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1947,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1947,Etna,Italy,Italy,37.734,15.004,3,EUROPE,19
1946,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1945,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1942,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1941,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1935,Etna,Italy,Italy,37.734,15.004,3,EUROPE,19
1934,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1931,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1930,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1929,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1928,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1928,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1926,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1923,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1923,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1919,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1918,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
1918,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1917,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1913,Etna,Italy,Italy,37.734,15.004,2,EUROPE,19
1912,Etna,Italy,Italy,37.734,15.004,3,EUROPE,19
1911,Etna,Italy,Italy,37.734,15.004,1,EUROPE,19
