location,lat,lon,entry,ratingDate,rating,sentiment,reviewertitel
Michigan,44.3148443,-85.6023643,"
Etna is a magnificent monument of nature, and is in itself its own testament that no word picture can hope to expand. It looms over the eastern Sicilian landscape and in its current firy incarnation reveals why primitive man worshipped such deities. They have given living abundance to the soil surrounding. Approach with due awe and reverence, for as Etna has in history and recent past she will again speak with the voice of a god raining down death and destruction, an oracle concerning the impermanence of man made monuments. Most recent ruins abound. One is privileged to walk on her flanks. Do so while it remains possible.
","Reviewed April 12, 2013
",5.0,0.142676767677,Top Contributor
"Glasgow, United Kingdom",55.864237,-4.251806,"
We didn't go for any of the tours, we simply drove as far up as we could with our rental car, and it was really worth it, the views were fantastic. We drove from Catania towards the West, and circumnavigated the Etna, stopping along the way in little villages, and it's a pleasant way to get some great view of the Etna and of the coast around.
","Reviewed April 12, 2013
",5.0,0.407638888889,Contributor
"West Chester, Ohio",39.3461916,-84.4092383,"
Although impressive, between the cold and the wind we almost froze in March! Try to visit on a day when the weather gods are smiling so that you can do some hiking around: the landscape is unique and unforgettable. The day after we were there, the belching of boulders from Miss Etna reached one of the surrounding villages and broke windshields.
","Reviewed April 10, 2013
",5.0,0.35625,Top Contributor
"Catania, Italy",37.5080386,15.0828512,"
The view from the top is amazing on a clear day. The drive there was fairly easy and the road conditions were pretty good. An SUV would make it up there just fine. We parked in the Rifugio Sapienza area and paid 2.50 euros for a half day parking pass. Didn't bother with the tourist traps, gift shops or restaurants. We packed our own lunch and wandered freely around the trails. Stay on the beaten path if you're bad with directions. It would have been awesome to see Etna in action... perhaps another day.
","Reviewed April 10, 2013
",4.0,0.322222222222,no status
belfast,54.597285,-5.93012,"
It is fantastic to look at in spring time when it is topped in snow. We were lucky to see it blow in April 2013
","Reviewed April 9, 2013
",5.0,0.366666666667,Senior Contributor
"Pas de la Casa, Andorra",42.5421978,1.732591,"
We really enjoyed our day trip and it was good value for good money.<br />The trip from Taormina using GPS via Zafferana Etnea was pretty tricky because of Palm Sunday. Getting Rifugio Sapienza I will encourage you to take the cable car (29 Euro per person), arrived at the staging area splurge and buy the full ticket up to the top of the volcano by the jeep ride which includes a walking tour. It is 30 Euro and well worth it.<br />Very cold, very windy but spectacular. Exceeded our expectations.
","Reviewed April 8, 2013
",5.0,0.309090909091,Top Contributor
"Melbourne, Australia",???,???,"
Did a trip to Mt Etna as part of a small tour group. Our guide drove us up, explained a lot of the history of the Volcano and the eruptions that have occurred. It is incredible going higher up Mt Etna and noticing the weather change, which was drastic. A sunny, mild day in Catania became a windy, very cold and snowing day when high up on the volcano.<br /><br />A must see if visiting Sicily.
","Reviewed April 4, 2013
",5.0,0.102222222222,Senior Contributor
"London, United Kingdom",51.5112139,-0.1198244,"
A fantastic experience to go up one of the most active volcanoes in the world! Our guide was friendly and very knowledgeable, but be warned that the weather is very unpredictable and the wind can be bitingly cold.
","Reviewed April 3, 2013
",5.0,0.102380952381,Reviewer
"Constanta, Romania",44.1733333,28.6383333,"
Mount Etna is a must-see when traveling in Sicily. The view is absolutely amazing. You can drink a cappucino at 2000 meters. Just marvelous.
","Reviewed March 31, 2013
",5.0,0.8,Reviewer
"Bristol, United Kingdom",51.454513,-2.58791,"
We went up on a cloudy October day which turned into sleet at the top and only +1deg C - so be warned it may be sunny and 15deg C at the bottom but you will need to be prepared with cold weather gear and warm shoes just in case !!. We took the 0800hrs bus service from Catania bus station and then cable car and 4x4 truck to the top with limited views - but when the clouds suddenly broke, we had fantastic views of the crater only 500m away with smoke and steam - WOW!! Visitor centre worth visiting to get a feel of the eruptions and devastation - oh and and nice warm drink! Plenty to see if you can walk to some of the smaller lower level craters.<br />Etna dominates the skyline from Catania - mesmerising.
","Reviewed March 29, 2013
",5.0,0.275755494505,Senior Contributor
Beenleigh,-27.7153573,153.2021315,"
Davide, our personal guide arranged by our B&amp;B, took us up 2,000ft near the top. He showed us the old lava flows, and houses that had had the lava stop close by. We had a taste of honey in a shop that had lava walls. Interesting that locals stripped their houses when the lava flowed down to their houses and then rebuilt right above their original houses. Saw the birch groves and the snow covered by the black ash. Etna was smoking and they were expecting an eruption that week, but we missed it. Very exciting trip around Etna, and stopped at some local produce stores. Dont miss it if nearby.
","Reviewed March 24, 2013
",4.0,0.160707671958,Top Contributor
"Portsmouth, United Kingdom",50.8166667,-1.0833333,"
Fabrizio had excellent Volcano knowledge. We could only go as high as 2,500mts, because of the snow. The summit is 3,000mts. <br /><br />I liked the local Etna Lava Water 70% proof!<br /><br />The cable car is a bit expensive at just short of 30 Euro each.
","Reviewed March 23, 2013
",5.0,0.18,no status
"Rabat, Malta",???,???,"
If you are in Western Sicily early in the year, and fancy skiing on Europe's most active volcano, it's definitely worth considering a day on the slopes of Mount Etna, you ski over lava, past small craters, look up to see the steam rising from the peak, and down to distant citrus groves and the blue waters of the Med.<br /><br />The ski area we visited was small, so not worth an extended trip, but for a couple of days of low key family skiing it was worth it for the experience.<br /><br />Here are a few tips. First of all check the weather - if winds are high, lifts will be intermittent if working at all (etnasci.com is good for snow, lifts and weather, all info is in Italian). Italian law requires you to have snowchains with you above a certain altitude in the winter months, but these are for sale on the lower slopes of Etna. Also be aware that your diesel car may not like the lower temperatures at the top - we had trouble starting ours.<br /><br />We skied from Etna Nord, where there is one chair lift (blue slope), and three drags (red slope). All the slopes are relatively easy skiing compared to Alpine slopes, and are quite short, the blue in particular is very gentle. There is easy, cheap (€3/day) parking near the chair lift, but if it's a weekend and there is sun and snow, get there before 9am to get a spot, otherwise parking is possible on the roads. There are a collection of small huts on the lava field, which somehow manage to hire out skis, boots etc (at about €40/day for an adult), and sell great coffee and hot chocolate, and basic snacks (panini, chips etc). Queues on a sunny Sat/Sun took a long time, and given the short slopes and slow lifts, unless you are a complete beginner you'll do a lot more waiting than skiing. There is a very good restaurant at the bottom of the long drag, but to get back to the main lift, you'll have to make it up a long, steep, windy drag (if you fall off near the top, the only option is to take off skis and scramble down a rocky slope), which may be an issue if you have younger kids.<br /><br />There is also a ski school.
","Reviewed March 15, 2013
",4.0,0.11903230298,Senior Reviewer
"Montreal, Canada",45.5086699,-73.5539925,"
Really worth the climb (or drive up with jeep). The view up there is amazing! And then we found a place near Mount Etna where they rent quads ATVs and we drove around the volcano for like 5 hours. SO MUCH FUN! I had a blast. I will definitely remember this day all my life!
","Reviewed March 14, 2013
",5.0,0.375,Top Contributor
"St. Petersburg, Russia",59.9395237,30.3120206,"
Take on Etna comfortable shoes and warm clothes even on summer! You can rent it there but it is dirty((
","Reviewed March 8, 2013
",5.0,0.216666666667,Senior Contributor
"Perth, Australia",???,???,"
A true sight, steaming away in the snow... Even if you dont get up onto the slopes just seeing it from Taormina is awe inspiring. An active volcano presiding over the land.
","Reviewed February 21, 2013
",5.0,0.238888888889,Senior Contributor
St Julians Malta.,35.9186111,14.49,"
Loved the day trip to Etna especially as it was snowing and it was my daughter's first time in the snow. Lots of lovely souvenir shops and nice coffee shops.
","Reviewed February 17, 2013
",5.0,0.41,Senior Contributor
Concórdia Brazil,-27.2342468,-52.0285877,"
Went on a guided tour of Mount Etna which was very interesting. It included a stop at Refugio Sapienza and a cave.
","Reviewed February 10, 2013
",4.0,0.65,Contributor
Plymouth,???,???,"
Since we choose to visit Sicily in January, we expected snow on Etna and got it. Its a great shame that virtually everywhere you go in Sicily is full of litter and the lower slopes of Mount Etna are no exception. We chose a clear fine day for our drive on the Via Etna and arrived at the Rifugio Sapienza (1910m), with the temperature at zero and about 60cm of snow, we left 20 deg at sea level. The road is good and snow ploughed and the views over Sicily were magnificent. Sadly at this time of year you cannot get to the top, as the cable car was not operating, but it was still worth the visit. You need to be aware that during the winter months you are required to carry snow chains if you are driving on the Via Etna (or anywhere else on the mountain at high level.)
","Reviewed February 7, 2013
",5.0,0.368888888889,Top Contributor
"Stolberg, Germany",???,???,"
It takes a while to get all the way up, but once you get to the crater it's like a different world. Visiting only with a guided tour, starting from Rifugio Sapienza. Try to get there early and take the one-day tour, which means you have to hike some, but it's a spectacular experience.
","Reviewed February 7, 2013
",5.0,0.14,Senior Reviewer
"Ventura, California",34.2746405,-119.2290053,"
When you get to the parking lot at the top of the mountain, you go into the building with the cable car. Buy a ticket- it's pricy, like 70 euro per person- and get in line for the cable car. Then you arrive and are loaded onto a truck/van thingy. (Now is the time if you need a restroom. There is a small cafe and gift shop.) Next, they take you up to the top and a guide will walk you around and recite info in Italian, English, French and anything else he knows. The craters are pretty neat. The hiking is easy, though some sections are steep, but it's very manageable for people of all ages. There is a small shack to buy post cards, magnets and posters. After about an hour they will take you back down. Bring a coat and gloves even in the summer, (well, maybe not August!), it's chilly up there.
","Reviewed February 3, 2013
",4.0,0.0375992063492,Senior Contributor
"Whitianga, New Zealand",-36.8218293,175.7004402,"
Mt Etna was worth the visit so you can say you have been on a live, active volcano. We were with an Insight Tour so we drove there on our coach. Had snowed lightly the day before but our day was fine but quite cool. Obviously if you want to walk up onto one of the craters you will need to be sure footed and have good footwear,but it was quite an easy walk. Lovely views. Spoilt only by the rubbish littered everywhere. There was a school group there and they were all just throwing their rubbish over the barriers into the crater. Very disappointing to see no one looking after that. Food was great in the cafe we chose and a great afternoon. Nice to go back to our hotel and see her smoking away.
","Reviewed February 1, 2013
",5.0,0.304868686869,Senior Contributor
"Ottawa, Canada",45.4215296,-75.6971931,"
If you are in eastern Sicily you'd be an idiot to miss mount Etna, unless perhaps you are from Iceland where volcanoes are everywhere. Take a day and go to the top of the mountain. It is indeed a live volcano. The lift that gets you near the summit is on the south side. Don't get lost up there, though. It's true about the weather being treacherous.
","Reviewed January 26, 2013
",5.0,0.271590909091,Senior Contributor
"Galway, Ireland",53.2705588,-9.0566677,"
Had a great day out. Excursion organised by hotel, very informative guide, small group. 6 persons, Very nice, interesting and well worth the price. There is some walking uphill so you do need a good level of fittness. Not ideal if you have walking problems. There was however a mixture of age groups for 3 to 70 years also there, either on their own or with organised groups.
","Reviewed January 23, 2013
",5.0,0.497777777778,Senior Contributor
"Washington DC, District of Columbia",38.8951118,-77.0363658,"
There are two way to climb Mount Etna from the Hotel/Rifugio Sapienza by foot or by cable car. I will encourage you to take the cable car since the climb by foot which roughly takes 4 hours is a monotonous walk in black ashes. If you decide to do it, take plenty of water. It is tiring to walk in sand like black ashes.<br /> <br />The view from Sicily's highest peak is outstanding, reaching from the tip of Italy to northern Africa. The volcano remains active and has created a landscape of lava covered by snow which is in turn covered with volcanic ashes. This &quot;black&quot; snow surround you as if you were in the middle of the Sahara! The walk to Etna is conducted in small groups led by a guide. After beginning the ascent with the cable car, you take a large four-wheel drive jeep, and finally you continue on foot. The latter part is not challenging and requires only good walking shoes and a wind breaker. A crater created by a recent eruption is reached after a 5 mn walk, from there the guide takes you from craters to craters and bring you back to the mountain hut where the jeeps are waiting for you. The walking tour takes about one hour. <br /><br />If you are hungry, the food at the Rifugio Sapienza is poor and overpriced. Bring your own sandwich.
","Reviewed January 16, 2013
",5.0,0.0959523809524,Contributor
Sicily,37.5999938,14.0153557,"
It looks like being on the Moon ! great walk . I went with my students and we all enjoyed it. really superb .
","Reviewed January 12, 2013
",5.0,0.766666666667,Reviewer
"Derby, England, United Kingdom",52.9225301,-1.4746186,"
The sheer size and potential power of it. The impact it has had over the centuries and it leads to other vists of the area such as Pompeii
","Reviewed January 8, 2013
",4.0,-0.03125,Contributor
"Florence, Italy",43.7710332,11.2480006,"
The weather was terrible the day we went up Mount Etna - but we could make out little burning sulphur piles through the smog and it all seemed very adventurous - at the final part they were recommending that nobody walked up to the very top but my husband went anyway leaving a very worried wife behind in the cafe - but he made it back and the weather had lifted as we returned so we saw more of the moon crater landscape we had missed on the ascent. I cant say it was my favourite experience but somehow a trip up Etna is a part of Sicily not to be missed!
","Reviewed January 6, 2013
",4.0,0.0486111111111,Top Contributor
"Lexington, Massachusetts",42.4430372,-71.2289641,"
A very nice spot to visit to appreciate the wonders of mother nature. This volcano is active but not enough so as of the date of this review to avoid going to see it. The various craters are fairly well defined and one can circumnavigate one or another to get a better idea of the calderas. But there are so many diverse calderas that you might be better off just glimpsing at as many as you can while you are there - they are not all the same.
","Reviewed January 6, 2013
",4.0,0.294074074074,Top Contributor
,???,???,"
What a magic place this was made all the better with my young guide Julia she was great<br />And the company of my young Turkish friends what a great day pity about the cloud cover but I still enjoyed my walk on Etna magic the lava cave and the craters wow! The trip to Taorima and all the little villages along the way fantastic
","Reviewed December 31, 2012
",5.0,0.35875,Top Contributor
"Manchester, United Kingdom",???,???,"
We got this gentle and elegant shape during our vacation in the eastern Sicily. This far quietness completely changes once we've been on the top of him. A rough and cold personality much more interesting and attractive than it could seem to be... Even if mount Etna is an active volcano where it is easy to get noises from spots of bubbling lava and stare at little smoke columns coming out from craters around it is covered by snow in Winter season. Locals use to go skiing or snowboarding on the Etna for breathtaking runnings on paths looking at the sea downhill. A rough personality as that of Mount Etna would then show his romantic side through lovely surroundings around. Mount Etna can be still very funny and we were surrounded by a dense fog quite the most of our way up so we couldn't get that much..
","Reviewed December 26, 2012
",5.0,0.254605263158,Reviewer
"Vasteras, Sweden",59.6099005,16.5448091,"
The Etna area is simply gigantic. Soo much to see - but we only managed to get around the south side of this incredible massif - so we need to get back at some point to see more.<br /><br />The enormous masses of stiffened lava is just amazing around the area - buried houses, black or red stone/sand and colorful vegetation is simply beautiful contrasts in autumn.<br /><br />We went up to the top (2900 m) with bus and elevator - and walked down again in the lava sand one day. But don't forget to dress proper for ice cold winds if you go up there in November.<br /><br />We also visited the red beautiful Silvestri-craters (an 10 seconds earthquake occured when we where going up the highest crater), the lavatube (Tre Livelli) where you will need climbing gear and guide.<br /><br />We hired MTB's and biked around and down to Nicolosi again - in very thick fog. But luckily we brought our head tourches. I fyou do not want to bike up you can bring the bike on the morning bus up to rifugio Sapienza.
","Reviewed December 14, 2012
",5.0,0.146234567901,Senior Contributor
"Charlotte, NC",35.2270869,-80.8431267,"
We were fortunate the day we went to Mt. Etna the fog had not set in yet and we were able to see the surrounding area on the way up. One does not realize the desolation that occurs from a volcano and the amount of time it takes for any vegetation to regrow. Once at the top there are several smaller craters that can be easily walked to. It is a real hike up to the main crater and since I was using a cane to walk I could not go there. The black lava rock is interesting ground cover. There are several places to buy food but as far as I am concerned the little shop at the far right hand side of the road as you get to the top is the place to go. There was a man cooking sausages on a grill. They were absolutely delicious. One must also try one of the cannelloni, which was the best I have eaten.
","Reviewed December 12, 2012
",5.0,0.28224789916,Top Contributor
"New York City, New York",40.7143528,-74.0059731,"
If you're lucky enough to go up Etna (as constant eruptions can cause disruptions), it's quite the experience. In the winter if there is enough snow you can ski or snowboard &amp; in the warmer months you can either trek up the mountain or take a truck up &amp; trek the last bit to the main crater. It's quite the experience to go on the volcano, so don't miss out! I'm from the area &amp; I never get tired of the mountain.
","Reviewed December 12, 2012
",5.0,0.0202380952381,Contributor
"Titusville, Florida",28.6122187,-80.8075537,"
Black lava rock and chestnut trees along a mountain can be very beautiful. Very windy but spectacular. Walking along the crater edge and seeing the lava from the past really brings home to power of volcano's.
","Reviewed December 5, 2012
",5.0,0.230555555556,no status
"Zafferana Etnea, Italy",???,???,"
The Etna Area is one of the most amazing area worldwide, its surrounding areas are wonderful, you just need to know what and where. With the right hints you are in a place which may be compared to paradise. Great vineyards producing elegant and complex wines. Amazing restaurants serving great local food. Charming places to stay. It is the beginning of a great era!!!!
","Reviewed December 1, 2012
",5.0,0.565476190476,no status
"Alicante, Spain",???,???,"
We went on a day trip to sicily and went on the coach up to the top of Mount Etna. On the drive up we went through the clouds and it was very cold up there. There were a few tourist shops, but thats what you want when you go to the top of mount etna. There is a nice restuarant and the food is good and good value. We saw 2 houses where 2 sisters still live and refused to leave during the last big eruption and would you beleive the larva went round the 2 houses and didn't touch the houses,
","Reviewed December 1, 2012
",5.0,0.168760330579,Senior Contributor
"Bari, Italy",???,???,"
going on the top (more than 3.000 meters) you can see the wonderful view of the cyclops gulf. More interesting if you go in the winter because is very impressive the striking contrast between the snow and the volcanic lava
","Reviewed December 1, 2012
",5.0,0.642857142857,Senior Contributor
